Name,Price,Category,Description
Wagon wheels (set of 4),11,Wagon Parts,Four wagon wheels to be used as spares - in case one gets a flat.
Cheese (lb),1.35,Food,Unnamed and near-tasteless variety of cheese; sold in blocks by the pound.
Clothing set,10.98,Clothing,One full set of clothing. Not gender-specific.
Box of 20 bullets,1.96,Firearms/Ammo,Contains twenty (20) bullets. Can be used with any gun. Probably.
Laudanum,2.76,Medicine,A couple sips of this and you won't even remember what ails you.
Devil's lettuce (oz),1.5,Misc.,It's legal in Oregon!
Bacon (lb),0.25,Food,Salted and cured pork. You know the drill.
Tins of biscuits,0.05,Food,"These particular biscuits are also known as ""hardtack"". You'll find out why."
Molasses (16 oz jar),0.03,Food,Because sometimes the best thing to have is a jar of viscous sugarcane byproduct.
Wagon axle,8.25,Wagon Parts,The thing that makes a wheel act like a wheel.
Wagon tongue,9.35,Wagon Parts,I think it connects the wagon to the horses or oxen? Breaks very easily.
Boots (pair),2.20,Clothing,It's not recommended to head out on the trail barefoot.
